id,scientific_name,common_name,observed_on,place_guess,latitude,longitude,url,image_url
259024808,Lobaria pulmonaria,Tree Lungwort,2025-01-19,"Saanichton, BC V8M 1S7, Canada",48.5871272028,-123.4273579167,https://www.inaturalist.org/observations/259024808,https://static.inaturalist.org/photos/464877213/medium.jpeg
258984378,Lobaria pulmonaria,Tree Lungwort,2025-01-19,"Trenton, ME 04605, USA",44.4620888889,-68.3699027778,https://www.inaturalist.org/observations/258984378,https://static.inaturalist.org/photos/464794579/medium.jpeg
258978546,Lobaria pulmonaria,Tree Lungwort,2025-01-19,"St. Andrews, NB E5B, Canada",45.08252496,-67.04959016,https://www.inaturalist.org/observations/258978546,https://static.inaturalist.org/photos/464781852/medium.jpg
258929921,Flammulina velutipes,Velvet Foot,2025-01-19,日本、神奈川県横浜市磯子区,35.357002491,139.5956068926,https://www.inaturalist.org/observations/258929921,https://static.inaturalist.org/photos/464684838/medium.jpg
258900939,Flammulina velutipes,Velvet Foot,2025-01-18,"Germanton, NC, US",36.2287466667,-80.231055,https://www.inaturalist.org/observations/258900939,https://inaturalist-open-data.s3.amazonaws.com/photos/464624638/medium.jpg
258900559,Flammulina velutipes,Velvet Foot,2025-01-18,"Germanton, NC, US",36.2289916667,-80.2304916667,https://www.inaturalist.org/observations/258900559,https://inaturalist-open-data.s3.amazonaws.com/photos/464623739/medium.jpg
258988851,Trichaptum biforme,violet-toothed polypore,2025-01-19,"Brunswick, GA, US",31.3540416667,-81.5668333333,https://www.inaturalist.org/observations/258988851,https://inaturalist-open-data.s3.amazonaws.com/photos/464803244/medium.jpg
258990388,Trichaptum biforme,violet-toothed polypore,2025-01-19,"Greenwich Bay, Warwick, RI, US",41.6680216667,-71.42958,https://www.inaturalist.org/observations/258990388,https://inaturalist-open-data.s3.amazonaws.com/photos/464805898/medium.jpg
258973914,Trichaptum biforme,violet-toothed polypore,2025-01-19,"Durham, NC 27705, USA",36.01396,-78.9755016667,https://www.inaturalist.org/observations/258973914,https://inaturalist-open-data.s3.amazonaws.com/photos/464773558/medium.jpeg
259009537,Stereum complicatum,crowded parchment,2025-01-19,"Durham, NC, US",36.057606549,-78.9872509428,https://www.inaturalist.org/observations/259009537,https://inaturalist-open-data.s3.amazonaws.com/photos/464843920/medium.jpg
